,Month,Strawberry ID,Unnamed: 2,Marketable,Waste,Ripeness,Class,brix,hardheid,Unnamed: 9,CAM,Track (Detection v1),Track (Detection v2),Frame name,Tracker in Detection v1 (last-frame),Notes,to-be-discussed,dd,mm,br,nr,yy,date,formatted_date,day_of_year,week_of_year
0,,"28,4,1,0",,True,False,7.0,Coarse (> 30mm),10.0,,,,,,,,no photos available,,28,4,1,0,2021,2021-04-28,2021-04-28,118,17
1,,"28,4,1,3",,True,False,8.0,Small (25-30 mm),,,,,,,,,no photos available,,28,4,1,3,2021,2021-04-28,2021-04-28,118,17
2,,"28,4,1,4",,True,False,6.0,Misshapen,,,,,,,,,no photos available,,28,4,1,4,2021,2021-04-28,2021-04-28,118,17
3,,"28,4,1,5",,True,False,7.0,Tiny (< 25mm),,,,,,,,,no photos available,,28,4,1,5,2021,2021-04-28,2021-04-28,118,17
4,,"5,5,1,1",,WAAR,ONWAAR,9.0,Small (25-30 mm),10.8,,,,2,,,,no photos/series available,,5,5,1,1,2021,2021-05-05,2021-05-05,125,18
5,,"5,5,1,2",,WAAR,ONWAAR,9.0,Small (25-30 mm),11.1,,,,6,,,,no photos/series available,,5,5,1,2,2021,2021-05-05,2021-05-05,125,18
6,,"5,5,1,3",,WAAR,ONWAAR,9.0,Coarse (> 30mm),10.3,,,,13,,,,no photos/series available,,5,5,1,3,2021,2021-05-05,2021-05-05,125,18
7,,"5,5,1,4",,WAAR,ONWAAR,9.0,Small (25-30 mm),9.8,,,,9,,,,no photos/series available,,5,5,1,4,2021,2021-05-05,2021-05-05,125,18
8,,"5,5,1,5",,WAAR,ONWAAR,9.0,Small (25-30 mm),13.9,,,,3,,,,no photos/series available,,5,5,1,5,2021,2021-05-05,2021-05-05,125,18
9,,"10,5,1,1",,WAAR,ONWAAR,9.0,Coarse (> 30mm),,,,,16,,,,,,10,5,1,1,2021,2021-05-10,2021-05-10,130,19
10,,"20,5,1,1",,WAAR,ONWAAR,9.0,Coarse (> 30mm),9.1,,,,,,,,was it 16?,,20,5,1,1,2021,2021-05-20,2021-05-20,140,20
11,,"20,5,1,2",,,,9.0,Small (25-30 mm),9.4,,,,125,,0520_1734,,mostly sure,,20,5,1,2,2021,2021-05-20,2021-05-20,140,20
12,,"20,5,1,3",,,,9.0,Coarse (> 30mm),14.4,,,,10,,0520_1734,,,,20,5,1,3,2021,2021-05-20,2021-05-20,140,20
13,,"20,5,1,4",,,,8.0,Tiny (< 25mm),8.5,,,,131,,0520_1734,,mostly sure,,20,5,1,4,2021,2021-05-20,2021-05-20,140,20
14,5,"20,5,1,8",,True,False,7.0,Coarse (> 30mm),7.3,0.392,,,,,,,,,20,5,1,8,2021,2021-05-20,2021-05-20,140,20
15,6,"20,5,1,9",,True,False,7.0,Coarse (> 30mm),9.2,0.482,,,,,,,,,20,5,1,9,2021,2021-05-20,2021-05-20,140,20
16,7,"20,5,2,1",,True,False,8.0,Tiny (< 25mm),11.2,,,,,,,,,,20,5,2,1,2021,2021-05-20,2021-05-20,140,20
17,10,"31,5,1,10",,True,False,7.0,Small (25-30 mm),8.6,0.406,,,,,0531_1843,,,,31,5,1,10,2021,2021-05-31,2021-05-31,151,22
18,11,"31,5,1,11",,True,False,7.0,Coarse (> 30mm),7.0,0.594,,,,,0531_1843,,,,31,5,1,11,2021,2021-05-31,2021-05-31,151,22
19,12,"31,5,1,12",,True,False,7.0,Misshapen,8.7,0.44,,,,,0531_1843,,,,31,5,1,12,2021,2021-05-31,2021-05-31,151,22
20,13,"31,5,1,13",,True,False,6.0,Small (25-30 mm),6.4,0.664,,,,,0531_1843,,,,31,5,1,13,2021,2021-05-31,2021-05-31,151,22
21,14,"31,5,1,14",,True,False,7.0,Coarse (> 30mm),7.3,0.334,,,,,,,,,31,5,1,14,2021,2021-05-31,2021-05-31,151,22
22,15,"31,5,1,15",,True,False,6.0,Small (25-30 mm),6.6,0.673,,,,,,,,,31,5,1,15,2021,2021-05-31,2021-05-31,151,22
23,16,"31,5,1,16",,True,False,5.0,Small (25-30 mm),6.2,0.825,,,,,,,,,31,5,1,16,2021,2021-05-31,2021-05-31,151,22
24,18,"31,5,1,18",,True,False,7.0,Coarse (> 30mm),8.3,0.417,,,,,,,,,31,5,1,18,2021,2021-05-31,2021-05-31,151,22
25,19,"31,5,1,19",,True,False,8.0,Coarse (> 30mm),9.2,0.385,,,,,0531_1843,,,,31,5,1,19,2021,2021-05-31,2021-05-31,151,22
26,20,"31,5,1,20",,True,False,8.0,Coarse (> 30mm),7.6,0.396,,,,,,,,,31,5,1,20,2021,2021-05-31,2021-05-31,151,22
27,21,"31,5,1,21",,True,False,7.0,Coarse (> 30mm),7.1,0.475,,,,,,,,,31,5,1,21,2021,2021-05-31,2021-05-31,151,22
28,,"20,5,2,1",,,,8.0,Tiny (< 25mm),,,,,,,,,,,20,5,2,1,2021,2021-05-20,2021-05-20,140,20
29,,"31,5,2,2",,True,False,7.0,Coarse (> 30mm),8.2,0.367,,,,,,,,,31,5,2,2,2021,2021-05-31,2021-05-31,151,22
30,,"31,5,2,3",,True,False,6.0,Coarse (> 30mm),8.7,0.648,,3.0,4,,,,,,31,5,2,3,2021,2021-05-31,2021-05-31,151,22
31,,"31,5,2,4",,True,False,6.0,Coarse (> 30mm),6.1,0.543,,,,,,,,,31,5,2,4,2021,2021-05-31,2021-05-31,151,22
32,,"31,5,2,5",,True,False,5.0,Small (25-30 mm),6.5,0.585,,,,,,,,,31,5,2,5,2021,2021-05-31,2021-05-31,151,22
33,,"31,5,2,6",,True,False,6.0,Coarse (> 30mm),6.8,0.333,,,,,,,,,31,5,2,6,2021,2021-05-31,2021-05-31,151,22
34,,"31,5,2,7",,True,False,7.0,Misshapen,7.0,0.376,,,,,,,,,31,5,2,7,2021,2021-05-31,2021-05-31,151,22
35,,"3,6,1,23",,True,False,7.0,Coarse (> 30mm),7.4,,,,565,,0603_1239,,in the left of the frame,,3,6,1,23,2021,2021-06-03,2021-06-03,154,22
36,,"3,6,1,26",,True,False,7.0,Coarse (> 30mm),5.8,,,,488,,,,Still there were labels in 0604_0940,,3,6,1,26,2021,2021-06-03,2021-06-03,154,22
37,,"3,6,1,25",,True,False,7.0,Coarse (> 30mm),7.2,,,,496,,,,,,3,6,1,25,2021,2021-06-03,2021-06-03,154,22
38,,"3,6,2,10",,True,False,8.0,Coarse (> 30mm),6.7,,,,,,,,,,3,6,2,10,2021,2021-06-03,2021-06-03,154,22
39,,"3,6,1,24",,True,False,7.0,Coarse (> 30mm),7.8,,,,464,,,,,,3,6,1,24,2021,2021-06-03,2021-06-03,154,22
40,,"3,6,2,9",,True,False,7.0,Coarse (> 30mm),7.8,,,,200,,,,,,3,6,2,9,2021,2021-06-03,2021-06-03,154,22
41,,"3,6,2,15",,True,False,5.0,Small (25-30 mm),4.7,,,,,,,,,,3,6,2,15,2021,2021-06-03,2021-06-03,154,22
42,,"3,6,2,14",,True,False,6.0,Small (25-30 mm),5.8,,,,,,,,,,3,6,2,14,2021,2021-06-03,2021-06-03,154,22
43,,"3,6,2,11",,True,False,7.0,Coarse (> 30mm),6.5,,,,,,,,,,3,6,2,11,2021,2021-06-03,2021-06-03,154,22
44,,"3,6,1,22",,True,False,7.0,Small (25-30 mm),7.7,,,,,,,,,,3,6,1,22,2021,2021-06-03,2021-06-03,154,22
45,,"8,6,2,24",,True,False,7.0,Coarse (> 30mm),7.5,,,,,,0608_1744,,a bunch of strawberries,,8,6,2,24,2021,2021-06-08,2021-06-08,159,23
46,,"8,6,2,29",,True,False,7.0,Coarse (> 30mm),7.5,,,,,,,,,,8,6,2,29,2021,2021-06-08,2021-06-08,159,23
47,,"8,6,2,17",,True,False,6.0,Coarse (> 30mm),6.5,,,,,,,,,,8,6,2,17,2021,2021-06-08,2021-06-08,159,23
48,,"8,6,2,18",,True,False,7.0,Coarse (> 30mm),6.8,,,,,,,,,,8,6,2,18,2021,2021-06-08,2021-06-08,159,23
49,,"8,6,2,26",,True,False,7.0,Coarse (> 30mm),8.0,,,,349,,,,,,8,6,2,26,2021,2021-06-08,2021-06-08,159,23
50,,"8,6,2,19",,True,False,8.0,Coarse (> 30mm),7.4,,,,,,,,,,8,6,2,19,2021,2021-06-08,2021-06-08,159,23
51,,"8,6,2,23",,True,False,8.0,Coarse (> 30mm),4.8,,,,,,,,,,8,6,2,23,2021,2021-06-08,2021-06-08,159,23
52,,"8,6,2,20",,True,False,7.0,Coarse (> 30mm),6.0,,,,,,,,,,8,6,2,20,2021,2021-06-08,2021-06-08,159,23
